FIPS,State,County,REDEMP_SNAPS12,REDEMP_SNAPS17,PCH_REDEMP_SNAPS_12_17,PCT_SNAP12*,PCT_SNAP17*,PCH_SNAP_12_17*,PC_SNAPBEN12,PC_SNAPBEN17,PCH_PC_SNAPBEN_12_17,SNAP_PART_RATE11*,SNAP_PART_RATE16*,SNAP_OAPP09*,SNAP_OAPP16*,SNAP_CAP09*,SNAP_CAP16*,SNAP_BBCE09*,SNAP_BBCE16*,SNAP_REPORTSIMPLE09*,SNAP_REPORTSIMPLE16*,PCT_NSLP12*,PCT_NSLP17*,PCH_NSLP_12_17*,PCT_FREE_LUNCH10,PCT_FREE_LUNCH15,PCT_REDUCED_LUNCH10,PCT_REDUCED_LUNCH15,PCT_SBP12*,PCT_SBP17*,PCH_SBP_12_17*,PCT_SFSP12*,PCT_SFSP17*,PCH_SFSP_12_17*,PC_WIC_REDEMP11,PC_WIC_REDEMP16,PCH_PC_WIC_REDEMP_11_16,REDEMP_WICS11,REDEMP_WICS16,PCH_REDEMP_WICS_11_16,PCT_WIC12*,PCT_WIC17*,PCH_WIC_12_17*,PCT_WICINFANTCHILD14*,PCT_WICINFANTCHILD16*,PCH_WICINFANTCHILD_14_16*,PCT_WICWOMEN14*,PCT_WICWOMEN16*,PCH_WICWOMEN_14_16*,PCT_CACFP12*,PCT_CACFP17*,PCH_CACFP_12_17*,FDPIR12,FDPIR15,PCH_FDPIR_12_15,FOOD_BANKS18
18179,IN,Wells,239493.00305732482,115984.55666666667,-51.57079531091574,13.903780258015061,10.079556194574382,-3.824224063440679,10.780738830566406,6.914665699005127,-35.86092758178711,78.655,79.7,0.5,0.5,0,0,0,0,1,1,68.4195046821052,64.10643800139022,-4.313066680714982,26.878198567041967,29.718048981271867,7.778915046059365,6.153529532825684,21.873887598739145,24.413006073171278,2.539118474432133,4.650173999460414,4.810413910511709,0.160239911051296,,,,113195.0234375,112144.25,-0.928285896778107,2.513601650329385,2.159568477795554,-0.354033172533831,27.968004225856962,26.713016399062912,-1.25498782679405,2.931689312286183,2.646562191183788,-0.285127121102394,1.089537177930631,1.406405574593457,0.316868396662825,0,0,0,0
18181,IN,White,214877.11721311475,131030.06593220338,-39.020930831714395,13.903780258015061,10.079556194574382,-3.824224063440679,14.539558410644531,9.531883239746094,-34.44172668457031,78.655,79.7,0.5,0.5,0,0,0,0,1,1,68.4195046821052,64.10643800139022,-4.313066680714982,38.31561392537002,38.562377102905835,10.318949343339586,10.18134149005899,21.873887598739145,24.413006073171278,2.539118474432133,4.650173999460414,4.810413910511709,0.160239911051296,,,,224269.71875,241326.296875,7.605386257171631,2.513601650329385,2.159568477795554,-0.354033172533831,27.968004225856962,26.713016399062912,-1.25498782679405,2.931689312286183,2.646562191183788,-0.285127121102394,1.089537177930631,1.406405574593457,0.316868396662825,0,0,0,0
18183,IN,Whitley,177449.95292307693,94039.018125,-47.0053293472751,13.903780258015061,10.079556194574382,-3.824224063440679,10.910436630249023,6.979006290435791,-36.03366470336914,78.655,79.7,0.5,0.5,0,0,0,0,1,1,68.4195046821052,64.10643800139022,-4.313066680714982,23.753758506092737,22.85472972972973,9.036239911378383,7.685810810810811,21.873887598739145,24.413006073171278,2.539118474432133,4.650173999460414,4.810413910511709,0.160239911051296,10.774477005004883,,,89851.0546875,117775.375,31.078454971313477,2.513601650329385,2.159568477795554,-0.354033172533831,27.968004225856962,26.713016399062912,-1.25498782679405,2.931689312286183,2.646562191183788,-0.285127121102394,1.089537177930631,1.406405574593457,0.316868396662825,0,0,0,0
19001,IA,Adair,90409.2705263158,61313.13285714285,-32.18269265949205,13.272552633273765,11.631472185461412,-1.641080447812353,12.877164840698242,9.557225227355957,-25.78160285949707,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,31.072210065645518,33.45070422535211,10.722100656455142,10.68075117370892,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,12.899019241333008,,,19467.19921875,6569.8935546875,-66.25147247314453,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19003,IA,Adams,69087.77,,,13.272552633273765,11.631472185461412,-1.641080447812353,13.259998321533203,9.947548866271973,-24.98076820373535,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,33.33333333333333,34.899328859060404,14.492753623188406,11.6331096196868,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,,,,42007,12356.419921875,-70.58485412597656,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19005,IA,Allamakee,108866.46148148144,60215.13907692308,-44.68899029370411,13.272552633273765,11.631472185461412,-1.641080447812353,14.26028060913086,9.789445877075195,-31.351659774780273,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,37.202925045703836,48.28532235939643,13.391224862888482,9.647919524462734,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,13.870595932006836,4.448536396026611,-67.92829895019531,39445.19921875,15403.0576171875,-60.950740814208984,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19007,IA,Appanoose,266250.45215469616,215691.62896551724,-18.98919711873517,13.272552633273765,11.631472185461412,-1.641080447812353,21.11207389831543,15.881368637084961,-24.775894165039062,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,35.70009930486594,39.314516129032256,9.632571996027806,7.510080645161291,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,19.974390029907227,,,64152.75,31017.95703125,-51.64984130859375,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19009,IA,Audubon,50244.85377049179,34528.80328767123,-31.278925707711803,13.272552633273765,11.631472185461412,-1.641080447812353,10.599601745605469,9.068364143371582,-14.44618034362793,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,24.354243542435423,29.38775510204082,8.487084870848708,9.115646258503402,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,,,,38624,5546.759765625,-85.63908386230469,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19011,IA,Benton,139581.93477707007,75875.28056074766,-45.64104539607504,13.272552633273765,11.631472185461412,-1.641080447812353,11.131109237670898,7.945948123931885,-28.614948272705078,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,21.968121968121967,24.095784484908954,5.775005775005775,4.265402843601896,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,5.624429702758789,,,36664.25,18570.904296875,-49.34873962402344,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,0
19013,IA,Black Hawk,270900.67678260873,204659.23509933776,-24.452298336791582,13.272552633273765,11.631472185461412,-1.641080447812353,18.43027687072754,15.174245834350586,-17.666749954223633,83.721,87.505,1,1,0,0,0,1,1,1,75.1395161134083,71.00974679596182,-4.129769317446488,40.099009900990104,43.80251523971662,9.306930693069306,7.260146081607996,17.68467508219576,19.401400701590884,1.716725619395124,2.110023609319888,3.471315379571192,1.361291770251303,19.59058952331543,6.436679840087891,-67.1440200805664,112068.390625,35701.046875,-68.14351654052734,2.24951963416435,1.970807766511291,-0.278711867653059,24.71081733824838,23.85964199362009,-0.851175344628288,2.64514821418143,2.443783660179794,-0.201364554001636,1.26580559500336,1.380745084338644,0.114939489335284,0,0,0,1
